,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
301,75.5648348528,,0.897585643771,0.334824510896,40.5070422535,0.710496521169,,491392945,8.0,423.262399215,444.016808916,dendrite-only,37,79,2913,5,42,80.9231,503.455673772,274.614644412,0.1144,0.1144,0.28,347.362790323,475459689,3420.89356594,3599.00116952,354.769820184
302,69.1552425743,,0.909922885135,0.256258193376,30.1296296296,0.901092163873,,491119526,5.0,205.934893011,263.67218657,dendrite-only,27,58,1665,4,31,44.3783,208.291110871,298.712410235,0.1144,0.1144,0.28,194.735612938,481001895,1945.83452807,1578.01504719,103.45987222
303,79.006791438,,0.885825113585,0.329070297646,37.59375,0.820955336075,,543103584,13.0,247.119604336,283.64986776,dendrite-only,48,103,3702,7,55,84.56,304.748427415,356.771873085,0.1144,0.1144,0.28,284.699497402,521409057,4441.33896499,4599.18728929,446.667452042
304,64.7999042391,,0.877313172555,0.503213626899,69.6935483871,0.863848493606,,585893391,8.0,528.139695333,570.030792231,full,31,66,4356,4,35,171.0772,768.930981101,425.9438424,0.1144,0.1144,0.28,176.327532097,527891102,5862.97662396,9572.87542591,1425.67862974
305,85.2083145169,,0.789621077612,0.10032367429,128.0,0.966091915828,,587405674,4.0,350.406255399,449.71820025,full,13,33,3465,7,20,144.2,594.400489447,425.3764368,0.1144,0.1144,0.28,15.990028932,571709783,4083.6846146,1289.63156923,31.0703503045
306,55.588146547,,0.913053173167,0.43531042264,34.0769230769,0.895771689631,,491253847,8.0,424.033434058,431.873777475,dendrite-only,26,58,1828,6,32,38.3393,474.699713676,236.62454621,0.1144,0.1144,0.28,379.53223818,349621141,2129.05454903,2939.73603182,393.713011145
307,64.6359122309,,0.928460798243,0.478346871917,48.6829268293,0.763994193225,,505202170,4.0,214.466321846,221.251554616,full,21,48,2062,6,27,63.3724,369.239001348,212.092479857,0.1144,0.1144,0.28,451.395321735,485184849,2413.95770858,3658.93949912,506.967499467
308,49.4832100776,,0.922018766675,0.387686329293,67.0,0.950147189712,,491392833,3.0,577.255606649,613.559924458,dendrite-only,10,28,1642,8,18,105.28,687.893236137,191.69138643,0.1144,0.1144,0.28,380.227041645,473601979,1932.7090196,2350.73166405,250.164205187
309,70.7583667618,,0.928043099821,0.201322725163,39.7333333333,0.803137287729,,491119245,3.0,242.351930196,258.868561141,full,15,36,1397,6,21,44.5237,302.038542078,323.493561666,0.1144,0.1144,0.28,120.229051811,482516713,1621.87132537,1027.22068597,54.5212402272
310,76.6875942925,,0.7647085593,0.605828925577,135.880952381,0.963604571694,,605202818,10.0,728.048421621,811.701878308,full,21,48,5908,6,27,154.7339,1000.93891519,438.687041587,0.1144,0.1144,0.28,481.705078546,571642127,6793.33793975,12935.7232053,2137.98190257
311,74.2094654448,,0.848370042679,0.374721277007,102.384615385,0.687654802873,,519262435,4.0,476.457490622,564.558691094,dendrite-only,13,31,2764,5,18,134.3882,445.129913462,592.074546019,0.1144,0.1144,0.28,1.28095501421,503823047,3191.44146125,3789.67908647,454.033718313
312,74.6779127036,,0.876857624801,0.294338982816,75.1764705882,1.05595667291,,491119537,4.0,326.848212857,374.232789885,dendrite-only,17,37,2605,3,20,82.04,277.729171236,409.387335002,0.1144,0.1144,0.28,210.145108438,464212183,2743.57735988,2545.92439664,224.055476254
